Year,Area,Item,Unit,Production (Tonnes),CH4 Emissions intensity
2015,Africa,"Milk, whole fresh cow",tonnes,36238878,3.1801
2016,Africa,"Milk, whole fresh cow",tonnes,36276471,3.2319
2017,Africa,"Milk, whole fresh cow",tonnes,35376022,3.3084
1961,Africa,"Meat, goat",tonnes,308720,50.7677
1962,Africa,"Meat, goat",tonnes,314881,49.9118
1963,Africa,"Meat, goat",tonnes,313100,51.483
1964,Africa,"Meat, goat",tonnes,319139,51.245
1965,Africa,"Meat, goat",tonnes,331482,50.5303
1966,Africa,"Meat, goat",tonnes,341233,50.782
1967,Africa,"Meat, goat",tonnes,353633,51.1433
1968,Africa,"Meat, goat",tonnes,366591,50.7473
1969,Africa,"Meat, goat",tonnes,373994,50.7804
1970,Africa,"Meat, goat",tonnes,383654,50.3199
1971,Africa,"Meat, goat",tonnes,384193,50.698
1972,Africa,"Meat, goat",tonnes,385809,51.162
1973,Africa,"Meat, goat",tonnes,374542,51.5848
1974,Africa,"Meat, goat",tonnes,382364,51.0168
1975,Africa,"Meat, goat",tonnes,398871,50.436
1976,Africa,"Meat, goat",tonnes,409377,50.4258
1977,Africa,"Meat, goat",tonnes,431822,49.726
1978,Africa,"Meat, goat",tonnes,464920,48.9113
1979,Africa,"Meat, goat",tonnes,482051,48.0207
1980,Africa,"Meat, goat",tonnes,492953,48.2326
1981,Africa,"Meat, goat",tonnes,487448,48.9255
1982,Africa,"Meat, goat",tonnes,497595,48.7644
1983,Africa,"Meat, goat",tonnes,512772,49.0331
1984,Africa,"Meat, goat",tonnes,513891,47.4049
1985,Africa,"Meat, goat",tonnes,518710,48.4388
1986,Africa,"Meat, goat",tonnes,543227,47.8392
1987,Africa,"Meat, goat",tonnes,584328,46.0393
1988,Africa,"Meat, goat",tonnes,618708,45.6752
1989,Africa,"Meat, goat",tonnes,649903,45.1446
1990,Africa,"Meat, goat",tonnes,658465,45.6998
1991,Africa,"Meat, goat",tonnes,659460,45.2524
1992,Africa,"Meat, goat",tonnes,673979,45.228
1993,Africa,"Meat, goat",tonnes,663852,45.0771
1994,Africa,"Meat, goat",tonnes,698534,45.3477
1995,Africa,"Meat, goat",tonnes,743826,43.6867
1996,Africa,"Meat, goat",tonnes,775534,44.3816
1997,Africa,"Meat, goat",tonnes,816618,44.0262
1998,Africa,"Meat, goat",tonnes,845580,43.8297
1999,Africa,"Meat, goat",tonnes,869492,43.9035
2000,Africa,"Meat, goat",tonnes,905370,43.5181
2001,Africa,"Meat, goat",tonnes,952090,43.5204
2002,Africa,"Meat, goat",tonnes,986077,43.2051
2003,Africa,"Meat, goat",tonnes,1019736,42.7712
2004,Africa,"Meat, goat",tonnes,1050073,43.0146
2005,Africa,"Meat, goat",tonnes,1114174,41.9314
2006,Africa,"Meat, goat",tonnes,1104064,42.4576
2007,Africa,"Meat, goat",tonnes,1143767,45.6189
2008,Africa,"Meat, goat",tonnes,1178510,46.3408
2009,Africa,"Meat, goat",tonnes,1212448,45.2397
2010,Africa,"Meat, goat",tonnes,1233844,45.7947
2011,Africa,"Meat, goat",tonnes,1188764,48.2291
2012,Africa,"Meat, goat",tonnes,1219564,48.3362
2013,Africa,"Meat, goat",tonnes,1248741,50.6184
2014,Africa,"Meat, goat",tonnes,1246910,51.3658
2015,Africa,"Meat, goat",tonnes,1326097,52.0381
2016,Africa,"Meat, goat",tonnes,1325896,53.6262
2017,Africa,"Meat, goat",tonnes,1373203,52.7958
1961,Africa,"Milk, whole fresh goat",tonnes,1309857,3.4717
1962,Africa,"Milk, whole fresh goat",tonnes,1310102,3.4775
1963,Africa,"Milk, whole fresh goat",tonnes,1341764,3.4768
1964,Africa,"Milk, whole fresh goat",tonnes,1382283,3.4487
1965,Africa,"Milk, whole fresh goat",tonnes,1418763,3.4748
1966,Africa,"Milk, whole fresh goat",tonnes,1412517,3.5177
1967,Africa,"Milk, whole fresh goat",tonnes,1469411,3.5007
1968,Africa,"Milk, whole fresh goat",tonnes,1517277,3.4854
1969,Africa,"Milk, whole fresh goat",tonnes,1511415,3.525
1970,Africa,"Milk, whole fresh goat",tonnes,1526778,3.5765
1971,Africa,"Milk, whole fresh goat",tonnes,1516567,3.5876
1972,Africa,"Milk, whole fresh goat",tonnes,1509625,3.5707
1973,Africa,"Milk, whole fresh goat",tonnes,1405189,3.6405
1974,Africa,"Milk, whole fresh goat",tonnes,1453097,3.6265
1975,Africa,"Milk, whole fresh goat",tonnes,1578375,3.5713
1976,Africa,"Milk, whole fresh goat",tonnes,1615739,3.5409
1977,Africa,"Milk, whole fresh goat",tonnes,1704700,3.5093
1978,Africa,"Milk, whole fresh goat",tonnes,1805539,3.5068
1979,Africa,"Milk, whole fresh goat",tonnes,1854863,3.4476
1980,Africa,"Milk, whole fresh goat",tonnes,1904696,3.4186
1981,Africa,"Milk, whole fresh goat",tonnes,1947913,3.4254
1982,Africa,"Milk, whole fresh goat",tonnes,2020489,3.4223
1983,Africa,"Milk, whole fresh goat",tonnes,2049331,3.3383
1984,Africa,"Milk, whole fresh goat",tonnes,1864379,3.6037
1985,Africa,"Milk, whole fresh goat",tonnes,1805009,3.8222
1986,Africa,"Milk, whole fresh goat",tonnes,1866931,3.9154
1987,Africa,"Milk, whole fresh goat",tonnes,1894020,4.0421
1988,Africa,"Milk, whole fresh goat",tonnes,2052314,3.8498
1989,Africa,"Milk, whole fresh goat",tonnes,2039300,4.0316
1990,Africa,"Milk, whole fresh goat",tonnes,2055653,3.8215
1991,Africa,"Milk, whole fresh goat",tonnes,2165409,3.992
1992,Africa,"Milk, whole fresh goat",tonnes,2197085,3.8911
1993,Africa,"Milk, whole fresh goat",tonnes,2465402,3.6269
1994,Africa,"Milk, whole fresh goat",tonnes,2686544,3.6236
1995,Africa,"Milk, whole fresh goat",tonnes,2918540,3.624
1996,Africa,"Milk, whole fresh goat",tonnes,2797513,3.5995
1997,Africa,"Milk, whole fresh goat",tonnes,2804708,3.7032
1998,Africa,"Milk, whole fresh goat",tonnes,2964531,3.6097
1999,Africa,"Milk, whole fresh goat",tonnes,3011287,3.6549
2000,Africa,"Milk, whole fresh goat",tonnes,3126028,3.6533
2001,Africa,"Milk, whole fresh goat",tonnes,3136801,3.7083
2002,Africa,"Milk, whole fresh goat",tonnes,3169510,3.7616
2003,Africa,"Milk, whole fresh goat",tonnes,3328945,3.7396
2004,Africa,"Milk, whole fresh goat",tonnes,3597963,3.6808
2005,Africa,"Milk, whole fresh goat",tonnes,3741019,3.6056
2006,Africa,"Milk, whole fresh goat",tonnes,3802733,3.5802
2007,Africa,"Milk, whole fresh goat",tonnes,3927184,3.5279
2008,Africa,"Milk, whole fresh goat",tonnes,4012708,3.4397
2009,Africa,"Milk, whole fresh goat",tonnes,4215336,3.4641
2010,Africa,"Milk, whole fresh goat",tonnes,4313579,3.4747
2011,Africa,"Milk, whole fresh goat",tonnes,4413938,3.5112
2012,Africa,"Milk, whole fresh goat",tonnes,4487139,3.8072
2013,Africa,"Milk, whole fresh goat",tonnes,4178422,3.8241
2014,Africa,"Milk, whole fresh goat",tonnes,4306262,3.8538
2015,Africa,"Milk, whole fresh goat",tonnes,4474774,3.8577
2016,Africa,"Milk, whole fresh goat",tonnes,4505437,3.9637
2017,Africa,"Milk, whole fresh goat",tonnes,4519161,4.0455
1961,Africa,"Meat, buffalo",tonnes,83000,17.0014
1962,Africa,"Meat, buffalo",tonnes,85000,16.6213
1963,Africa,"Meat, buffalo",tonnes,88000,17.3803
1964,Africa,"Meat, buffalo",tonnes,90000,17.3715
1965,Africa,"Meat, buffalo",tonnes,92000,17.627
1966,Africa,"Meat, buffalo",tonnes,94000,17.7577
1967,Africa,"Meat, buffalo",tonnes,96000,17.7414
1968,Africa,"Meat, buffalo",tonnes,93060,19.9808
1969,Africa,"Meat, buffalo",tonnes,96000,19.7049
1970,Africa,"Meat, buffalo",tonnes,93000,20.6875
1971,Africa,"Meat, buffalo",tonnes,99000,19.7767
1972,Africa,"Meat, buffalo",tonnes,101000,19.6877
1973,Africa,"Meat, buffalo",tonnes,103000,19.5692
1974,Africa,"Meat, buffalo",tonnes,104000,19.6096
1975,Africa,"Meat, buffalo",tonnes,106000,19.4479
1976,Africa,"Meat, buffalo",tonnes,106000,19.6337
1977,Africa,"Meat, buffalo",tonnes,107000,19.6153
1978,Africa,"Meat, buffalo",tonnes,114000,19.3939
1979,Africa,"Meat, buffalo",tonnes,117000,18.1986
1980,Africa,"Meat, buffalo",tonnes,120000,17.8398
1981,Africa,"Meat, buffalo",tonnes,123000,17.4809
1982,Africa,"Meat, buffalo",tonnes,125000,17.2925
1983,Africa,"Meat, buffalo",tonnes,126000,16.5361
1984,Africa,"Meat, buffalo",tonnes,143000,15.1878
1985,Africa,"Meat, buffalo",tonnes,135000,15.9494
1986,Africa,"Meat, buffalo",tonnes,136000,15.982
1987,Africa,"Meat, buffalo",tonnes,136500,16.0478
1988,Africa,"Meat, buffalo",tonnes,137500,15.857
1989,Africa,"Meat, buffalo",tonnes,142000,16.3583
1990,Africa,"Meat, buffalo",tonnes,161000,16.5322
1991,Africa,"Meat, buffalo",tonnes,169000,11.4716
1992,Africa,"Meat, buffalo",tonnes,173000,10.6322
1993,Africa,"Meat, buffalo",tonnes,177000,10.1991
1994,Africa,"Meat, buffalo",tonnes,233000,11.3395
1995,Africa,"Meat, buffalo",tonnes,248000,11.3357
1996,Africa,"Meat, buffalo",tonnes,267000,9.9
1997,Africa,"Meat, buffalo",tonnes,270000,10.6003
1998,Africa,"Meat, buffalo",tonnes,283000,9.8416
1999,Africa,"Meat, buffalo",tonnes,286000,10.8272
2000,Africa,"Meat, buffalo",tonnes,288000,11.8797
2001,Africa,"Meat, buffalo",tonnes,284000,11.314
2002,Africa,"Meat, buffalo",tonnes,337500,10.4501
2003,Africa,"Meat, buffalo",tonnes,324000,11.4594
2004,Africa,"Meat, buffalo",tonnes,330000,11.4536
2005,Africa,"Meat, buffalo",tonnes,354000,10.7688
2006,Africa,"Meat, buffalo",tonnes,360000,10.7875
2007,Africa,"Meat, buffalo",tonnes,370000,10.9448
2008,Africa,"Meat, buffalo",tonnes,375000,10.6532
2009,Africa,"Meat, buffalo",tonnes,381000,9.532
2010,Africa,"Meat, buffalo",tonnes,398353,8.8975
2011,Africa,"Meat, buffalo",tonnes,395801,9.3671
2012,Africa,"Meat, buffalo",tonnes,384933,10.0999
2013,Africa,"Meat, buffalo",tonnes,389707,9.3367
2014,Africa,"Meat, buffalo",tonnes,380000,9.6623
2015,Africa,"Meat, buffalo",tonnes,407119,8.4136
2016,Africa,"Meat, buffalo",tonnes,375293,8.4289
2017,Africa,"Meat, buffalo",tonnes,359954,8.6192
1961,Africa,"Milk, whole fresh buffalo",tonnes,761054,1.4949
1962,Africa,"Milk, whole fresh buffalo",tonnes,784988,1.5099
1963,Africa,"Milk, whole fresh buffalo",tonnes,739000,1.5119
1964,Africa,"Milk, whole fresh buffalo",tonnes,749000,1.5121
1965,Africa,"Milk, whole fresh buffalo",tonnes,744000,1.5109
1966,Africa,"Milk, whole fresh buffalo",tonnes,754000,1.4931
1967,Africa,"Milk, whole fresh buffalo",tonnes,764000,1.4936
1968,Africa,"Milk, whole fresh buffalo",tonnes,971000,1.483
1969,Africa,"Milk, whole fresh buffalo",tonnes,989000,1.48
1970,Africa,"Milk, whole fresh buffalo",tonnes,1005000,1.4801
1971,Africa,"Milk, whole fresh buffalo",tonnes,1039000,1.4791
1972,Africa,"Milk, whole fresh buffalo",tonnes,1064000,1.4794
1973,Africa,"Milk, whole fresh buffalo",tonnes,1087000,1.4809
1974,Africa,"Milk, whole fresh buffalo",tonnes,1113000,1.4784
1975,Africa,"Milk, whole fresh buffalo",tonnes,1136000,1.4798
1976,Africa,"Milk, whole fresh buffalo",tonnes,1160000,1.4785
1977,Africa,"Milk, whole fresh buffalo",tonnes,1182000,1.4797
1978,Africa,"Milk, whole fresh buffalo",tonnes,1204000,1.4668
1979,Africa,"Milk, whole fresh buffalo",tonnes,1227000,1.4773
1980,Africa,"Milk, whole fresh buffalo",tonnes,1248000,1.4775
1981,Africa,"Milk, whole fresh buffalo",tonnes,1269000,1.477
1982,Africa,"Milk, whole fresh buffalo",tonnes,1230000,1.5462
1983,Africa,"Milk, whole fresh buffalo",tonnes,1200000,1.5495
1984,Africa,"Milk, whole fresh buffalo",tonnes,1180000,1.6333
1985,Africa,"Milk, whole fresh buffalo",tonnes,1200000,1.6429
1986,Africa,"Milk, whole fresh buffalo",tonnes,1202000,1.643
1987,Africa,"Milk, whole fresh buffalo",tonnes,1203000,1.643
1988,Africa,"Milk, whole fresh buffalo",tonnes,1202000,1.667
1989,Africa,"Milk, whole fresh buffalo",tonnes,1208000,1.6601
1990,Africa,"Milk, whole fresh buffalo",tonnes,1250000,1.8067
1991,Africa,"Milk, whole fresh buffalo",tonnes,1325000,1.7749
1992,Africa,"Milk, whole fresh buffalo",tonnes,1420940,1.7507
1993,Africa,"Milk, whole fresh buffalo",tonnes,1555929,1.6447
1994,Africa,"Milk, whole fresh buffalo",tonnes,1417000,1.6351
1995,Africa,"Milk, whole fresh buffalo",tonnes,1358000,1.7033
1996,Africa,"Milk, whole fresh buffalo",tonnes,1623992,1.4116
1997,Africa,"Milk, whole fresh buffalo",tonnes,1889983,1.2672
1998,Africa,"Milk, whole fresh buffalo",tonnes,2022380,1.2672
1999,Africa,"Milk, whole fresh buffalo",tonnes,2018200,1.2672
2000,Africa,"Milk, whole fresh buffalo",tonnes,2030305,1.2672
2001,Africa,"Milk, whole fresh buffalo",tonnes,2212988,1.2584
2002,Africa,"Milk, whole fresh buffalo",tonnes,2087157,1.3343
